epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5599,1.23385,4.19307,1.33506,0.03039,0.54279,0.08955,0.07503,0.68479,3.58415,0.86036,0.00014837,0.00014837,0.00014837
2,19.4119,1.19777,2.84148,1.27309,0.74808,0.14546,0.21527,0.15541,0.88573,3.0367,0.97832,0.000297066,0.000297066,0.000297066
3,27.6578,1.17269,2.13824,1.27689,0.79636,0.44863,0.51659,0.38783,0.89123,2.30384,0.99729,0.000442759,0.000442759,0.000442759
4,35.6078,1.14619,1.91912,1.2839,0.73484,0.41455,0.48381,0.32534,1.13512,2.32314,1.18415,0.000441486,0.000441486,0.000441486
5,43.8811,1.08399,1.6769,1.23522,0.68287,0.52719,0.50958,0.38657,1.02167,2.0683,1.07653,0.000436982,0.000436982,0.000436982
6,53.1433,1.05606,1.60824,1.21404,0.85847,0.45449,0.5152,0.41091,0.84345,1.82031,0.98269,0.000432478,0.000432478,0.000432478
7,61.458,1.04473,1.48218,1.19473,0.78159,0.52984,0.4965,0.39419,0.81909,1.78891,0.95644,0.000427973,0.000427973,0.000427973
8,69.4333,1.03473,1.44749,1.1949,0.77969,0.51799,0.52618,0.43031,0.78875,1.8293,0.97347,0.000423468,0.000423468,0.000423468
9,78.5051,1.01821,1.39511,1.15367,0.71221,0.53455,0.5284,0.43004,0.80846,1.84339,0.96903,0.000418964,0.000418964,0.000418964
10,86.5645,0.96146,1.28252,1.13822,0.84083,0.49789,0.53302,0.41466,0.89243,1.86995,1.0245,0.00041446,0.00041446,0.00041446
11,95.0905,0.94815,1.25538,1.14539,0.72427,0.56382,0.55248,0.45918,0.78072,1.68718,0.95964,0.000409955,0.000409955,0.000409955
12,103.987,0.9348,1.19594,1.132,0.66234,0.54958,0.59829,0.48901,0.88934,1.82388,0.99516,0.000405451,0.000405451,0.000405451
13,112.437,0.94348,1.14335,1.12653,0.57071,0.54868,0.55426,0.4453,0.83461,1.79442,0.98589,0.000400946,0.000400946,0.000400946
14,122.211,0.91983,1.09071,1.11691,0.47656,0.56691,0.53585,0.43584,0.78288,1.77245,0.95756,0.000396441,0.000396441,0.000396441
15,130.929,0.91146,1.07937,1.11576,0.4887,0.53295,0.5695,0.45925,0.79915,1.85095,0.96133,0.000391937,0.000391937,0.000391937
16,140.431,0.90907,1.05835,1.10522,0.55755,0.50366,0.56568,0.45945,0.77568,1.77562,0.95626,0.000387433,0.000387433,0.000387433
17,148.615,0.91119,1.01496,1.09974,0.50186,0.55986,0.56781,0.45248,0.83669,1.74034,0.97049,0.000382928,0.000382928,0.000382928
18,156.73,0.90051,1.00803,1.11302,0.46994,0.60838,0.55426,0.45025,0.79391,1.6148,0.9511,0.000378423,0.000378423,0.000378423
19,164.792,0.89397,0.96802,1.09683,0.5158,0.53092,0.55489,0.43851,0.86282,1.74134,0.99185,0.000373919,0.000373919,0.000373919
20,174.168,0.87546,0.93841,1.09399,0.43296,0.55894,0.56438,0.4421,0.8682,1.79471,0.99665,0.000369415,0.000369415,0.000369415
21,184.168,0.88006,0.915,1.08376,0.54962,0.562,0.58413,0.49342,0.75435,1.70532,0.94101,0.00036491,0.00036491,0.00036491
22,193.957,0.85711,0.89435,1.08416,0.50562,0.54482,0.57481,0.47206,0.8255,1.65669,0.96584,0.000360406,0.000360406,0.000360406
23,202.531,0.84655,0.86316,1.074,0.57472,0.50314,0.57521,0.46979,0.84921,1.70228,0.9835,0.000355901,0.000355901,0.000355901
24,211.704,0.84168,0.86988,1.07385,0.55558,0.48153,0.5482,0.45322,0.80537,1.73085,0.95809,0.000351396,0.000351396,0.000351396
25,220.579,0.84277,0.84039,1.08003,0.44515,0.58196,0.55927,0.45911,0.79559,1.71483,0.96566,0.000346892,0.000346892,0.000346892
26,229.988,0.83417,0.83504,1.06319,0.512,0.5014,0.53817,0.44421,0.82483,1.76265,0.97997,0.000342387,0.000342387,0.000342387
27,239.601,0.82546,0.80816,1.05548,0.41812,0.59073,0.53003,0.43765,0.78487,1.77008,0.94166,0.000337883,0.000337883,0.000337883
28,248.236,0.82202,0.78165,1.06469,0.41393,0.57558,0.54065,0.42572,0.84363,1.7741,0.97649,0.000333379,0.000333379,0.000333379
29,256.297,0.83507,0.79307,1.05594,0.51526,0.49986,0.53455,0.44295,0.80867,1.79742,0.96074,0.000328874,0.000328874,0.000328874
30,264.479,0.80333,0.76867,1.04869,0.4972,0.50924,0.5363,0.44165,0.80032,1.83903,0.95922,0.000324369,0.000324369,0.000324369
31,272.47,0.76785,0.75812,1.03219,0.49386,0.58321,0.55906,0.45299,0.76133,1.83064,0.94598,0.000319865,0.000319865,0.000319865
32,280.651,0.7694,0.72413,1.03048,0.54258,0.53386,0.59854,0.4712,0.87145,1.72656,0.98681,0.00031536,0.00031536,0.00031536
33,289.747,0.78759,0.74128,1.04049,0.49032,0.55569,0.58283,0.49898,0.77343,1.74253,0.95074,0.000310856,0.000310856,0.000310856
34,298.837,0.79748,0.72909,1.04728,0.47789,0.59202,0.55943,0.47216,0.75733,1.84581,0.95205,0.000306351,0.000306351,0.000306351
35,307.444,0.77035,0.71386,1.03521,0.4877,0.5771,0.59623,0.49188,0.78091,1.69604,0.96083,0.000301847,0.000301847,0.000301847
36,316.183,0.74945,0.70012,1.03122,0.51592,0.55663,0.59255,0.48077,0.81087,1.69822,0.9749,0.000297342,0.000297342,0.000297342
37,325.947,0.72513,0.66956,1.01344,0.49121,0.55512,0.57494,0.48429,0.77471,1.74094,0.93988,0.000292838,0.000292838,0.000292838
